ix,name,street,city,postalcode,duns,countrycode
f8db7942-610b-445d-a299-c4ae23c45217,citaku gbr,32 papenbreede,bad essen,49152,,DE
427dcf2a-7c47-449f-9a9b-0b09cbccb189,hr service,2 buchenauer str,furstenfeldbruck,82256,316192707.0,DE
62da40fe-c74c-439a-afc1-1585b7930160,universal transport nord gmbh,50 52 peutestrae,hamburg,20539,33032167.0,DE
afac4773-923a-45ce-9d03-54de19231cab,parcom gmbh,ewald renz str,bad schonborn,76669,,DE
94c93a16-c01f-417d-9c73-77a3a210da43,csb battery store,14 badstr,neumarkt in der oberpfalz,92318,,DE
85cc4387-2de3-4e43-97e1-a9d8d3c52fb6,oracle deutschland gmbh,riesstr,munich,80000,317774891.0,DE
7554a1bb-46c5-4af8-9839-8f1a01f54c20,vwr international gmbh,42 whlerstr,hanover,30163,341869043.0,DE
17ce75d1-cc4b-4ab3-925c-356692bbcd0a,k busch gmbh,1 schauinslandstr,maulburg,79689,317541456.0,DE
83b28c2c-86f0-4d05-93c4-08e05b4a0b39,otis zi du cass ii,saint jean,l union,31240,,FR
24273c60-8552-4877-9270-fadd46818f1b,general dynamics uk,road,st leonards,tn38 0hw,233415103.0,GB
a240b509-a6c8-433e-9712-4f802e7163bc,selex es spa,piazza monte grappa nr 4,rome,195,339051809.0,IT
fc8bf3d0-0a95-48e4-9f8e-8e2850913563,ge sensing,fir tree lane,groby,le60fh,219144201.0,GB
f3020ce6-f5c1-47cf-b904-ea2f014012cf,linde technische gase gmbh,70 seitnerstr,pullach,82049,329252832.0,DE
a95f5f08-9462-4da8-b941-f8c7148fd5ce,industrie und handelskammer ulm,olgastr,ulm,89073,498750561.0,DE
b79a078a-156f-421b-934f-25da716214cc,sofitec,de,carmona,41410,,ES
f0304ee6-e293-4993-be58-5ba2f609f961,nps bauprojektmanagement gmbh,1 adolph kolping platz,ulm,89073,53758657.0,DE
ab00128c-bfa2-4921-80a1-dbae1e980458,carney gmbh,25 vor dem wald,wutha farnroda,99848,342656493.0,DE
cfb8ec8d-deb6-4d21-9aff-738a4431a652,business visum gmbh,dusseldorfer str,frankfurt,60329,,DE
e26bfb28-3f30-4d62-aff3-1c394faafbc9,unirep,1 avenue gutenberg,portet sur garonne,31120,380349795.0,FR
253ce464-33bd-41cc-a078-81f262216c45,hamilton sundstrand,4747 harrison ave,rockford,61108-7929,51079937.0,US
0206ba41-c065-46d5-8e42-3d728dd4ce16,bro zimmermann,14 16 bahnhofstr,dippoldiswalde,01744,330223603.0,DE
fb4d779a-453e-4b12-a95d-871027ad83c0,kienbaum management,speditionsstrasse 21,dusseldorf,40221,,DE
501ad89f-f5ce-487d-b5c6-ea6640f79e47,ge aviation systems ltd,cheltenham,cheltenham,gl528sf,,GB
f2768cdd-c214-4f43-bf0d-edfd1b866920,technology chemical sl,lg,cadiz,11011,469364285.0,ES
ea4fa8d4-1e9d-48dc-b670-53d67a126886,dr ing k busch gmbh,1 schauinslandstr,maulburg,79689,,DE
fb00367a-c71c-4eb6-95dd-34cbc24dca78,tratercom sll tratamientos termicos de componentes aero,12 avenida de mareina,bollullos de la mitacion,41110,,ES
21312101-c637-4ace-92ff-36ffb9e5d1de,translogic inc,5641 engineer dr,huntington beach,92648,75072116.0,US
5c3c57bf-4c6e-47af-8a29-e10c105f0c74,tino winter,obere au,rechtenstein,89611,,DE
6cd785dc-98f9-44bd-8318-2845080904de,multi printed circuit boards ltd,2 brunnthaler str,brunnthal,85649,,DE
02f8a26c-b153-4064-bd87-9436108500d4,manfrotto distribution,44 rue de la couture,rungis,94390,263172699.0,FR
8638314d-e8ee-48b0-a7ed-f290c054c4ea,salicru electronics,calle parque ind,seville,41016,633486162.0,ES
c2e5b14f-2d7e-44ec-b4fd-77251782fedd,marketline,sheepen place,colchester,co3 3lp,,GB
ab364b25-e746-4dc3-b958-f22276e9dbd7,c and g tool and cutter co ltd c and g tool and cutter co ltd c and g tool and cutter co ltd,north road,yate,bs17 5lq,,GB
f1d5897c-5d9a-42f5-950b-f4707688847a,borrero sanchez hnos sl,calle b,seville,41008,,ES
ad10bc13-7e4d-4126-be1c-698a97c8b8db,honeywell aerospace vendome,18 boulevard de l industrie,paris,75001,,FR
bd5cfda5-09c3-4412-9924-337e557fbc6d,klever gmbh und co kg,20 hauptstr,aham,84168,,DE
eef729a2-3311-46d5-85b2-403e417981cf,dichtelemente arcus gmbh,16 beckedorfer bogen,seevetal,21218,313821894.0,DE
fc6b6da4-077f-47a6-9922-f41562e70227,spie sud ouest,26 avenue jean monnet,colomiers,31770,573151839.0,FR
3e16f0cb-8748-420f-bdfd-969c48e62f0a,albert berner deutschland gmbh,66 mittenheimer str,oberschleissheim,85764,341842804.0,DE
6065ae26-2396-4779-a249-2fe6cd207361,eriks gmbh,bronninghauser str,bielefeld,33729,,DE
b8c7badc-86d7-4126-86d9-c2fa86a433b5,spie sud ouest,26 avenue jean monnet,colomiers,31770,,FR
fd6f6e91-cce4-40fd-a133-59d2732257a5,association centre port royal,chemin du charme et du carrosse,saint lambert,78470,,FR
22be1313-c731-4cc8-bc96-2c4cf9b99da6,fako heinrich a anton,sderstr,hamburg,20537,340213235.0,DE
440fc4e6-53e3-4d00-ab04-f8ccc117506b,rainer pfanz,22 sandackerweg,aichtal,72631,,DE
975bdeab-95dd-4828-bc99-63a95ea8b205,mce computer gmbh,14 lerchenstr,munich,80995,343582987.0,DE
25d6d84f-ae57-46a5-a132-682d3edede7b,wurdack software,von,schlitz,96111,,DE
ce8a3993-e248-48e8-a594-7718e3e530b3,abb automation gmbh,6 grner weg,friedberg,61169,344889824.0,DE
f714494d-2963-4158-95c6-c62221e154b7,msc marconi selenia,viale dell industria 4,pomeziarm,00040,,IT
10086d8f-5f43-4246-a385-f079cc810819,boerner gmbh,6 borsigstr,ingolstadt,85053,341142073.0,DE
616e6677-55d6-42d2-af44-76fad9a2b8e1,ingelmaf sl,calle de navalmoral de la mata,madrid,28044,769097374.0,ES
a90adf42-d16b-4367-851c-5091cd41cea7,ge aviation,evesham road,cheltenham,gl52 8sf,67221824.0,GB
bcaea76c-b946-4251-9ce7-c8998edd0b7a,fiz karlsruhe,1 hermann von helmholtz platz,eggenstein leopoldshafen,76344,317426773.0,DE
8fcd15a7-046d-4080-8c4e-ef7a327f3096,selex es spa,via dei castelli romani 2,pomezia,00040,339891404.0,IT
75277eab-d10d-4b1d-91e8-fb84ec8ccdea,hotel maier,1 3 poststr,friedrichshafen,88048,507110463.0,DE
593a5634-3ddf-4ef5-8e8f-7c289eb691cf,hahn kolb werkzeuge gmbh,40 schlieffenstr,ludwigsburg,71636,,DE
864babb0-2719-4ca2-b38a-1f7da1a82cc7,roda computer gmbh,6 landstr,lichtenau,77839,342690195.0,DE
ec0d1e2b-2ecc-4b67-8e22-66bea08d6473,glasbau steglich gmbh,1 johannesstr,ulm,89081,316089809.0,DE
7e87f102-3065-45b1-9094-458ca8e0de02,selex sensor and airborne,christopher martin road,basildonessex,ss13 1el,,GB
a4055cbc-6195-4b39-99ef-e5ad071c3a37,engie deutschland gmbh,lindenstr,ulm,89077,,DE
998875ef-a6af-4f24-bf31-53a4a1ea27d1,hegra,4 in den elf morgen,limburg,65549,314687658.0,DE
afe75b2f-6adc-4d92-975e-2f366d6809d7,galileo avionica spa,2 via dei castelli romani,pomeziarome,00040,,IT
ea26ca43-ef63-4ad2-bed1-b99f5e90ce5b,northrop grumman,21240 burbank blvd,woodland hills,84653,33558722.0,US
26b26213-6beb-4f8d-a0a8-5ada2faf6dc6,fvw faser und verbundwerkstoffe,brckenstr,weinbohla,1689,,DE
2a2249b3-3052-4eb3-b7fe-d50751378f0c,heinrich betz gmbh co kg,mhl gasse,ortenberg,63683,,DE
cd63c740-214b-4a2f-9f9a-784f387e4054,ykk deutschland gmbh,33 ostring,mainhausen,63533,31692792.0,DE
b64d389c-6ce3-4efc-ba0a-243720a33140,albert berner gmbh,4 bernerstr,kunzelsau,74653,315731075.0,DE
a17ba961-73be-4421-b31f-bb176a09e058,honeywell aerospace,190th st,torrance,25250,,US
20fd1dca-58ac-4a01-b7fb-a744cfe358d5,dv conseil,2 rue louis codet,paris,75007,262278589.0,FR
932c026a-359c-4e4f-b576-14727595a5cb,lois traducciones sl,6 4 calle de alustante,madrid,28002,513225706.0,ES
de6a8251-a6e9-44ab-ad06-55783bb54cbd,moog uk cheltenham limited,cheltenham,cheltenham,gl518lz,,GB
8df32592-8e77-453d-8fa1-5fff43b6888e,cenap srl,via dei castelli romani,pomezia,00040,,IT
fbba638f-f4cd-4c27-93a4-a99d8e4ed841,aeroflex ltd,monks brook industrial park,chandler s ford,so534ra,216834002.0,GB
3809244f-4911-4bca-ab29-abdadc3143f9,denis reumaux,61 rue jules ferry,bordeaux,33200,502109429.0,FR
19f2c052-22ba-41eb-9cd0-06876728f1f4,driesch anlagentechnik gmbh driesch anlagentechnik gmbh driesch anlagentechnik gmbh,10 keplerstr,menden,58706,,DE
1b449a5b-091a-4c7e-8ea0-27a82b121e4c,sps gmbh,weisbergerstr,ingolstadt,85053,506771331.0,DE
f8e4ed3e-ced4-401c-bd0f-6791da214c33,ags mudanzas internacionales sl,29 calle de mario roso de luna,madrid,28022,,ES
b24a5771-a49a-4cf3-9b71-5aea388b538b,zarm technik gmbh,am fallturm,bremen,28359,,DE
f7f99401-39af-454e-8d77-f5532f3190f4,mbs ag,51 eisbachstr,sulzbach laufen,74429,,DE
34152c07-9982-44fd-8e76-075b6675e403,buerklin ohg,30 grunwalder weg,oberhaching,82041,,DE
0afc9505-41f6-415b-b82b-9ff8551c0e0a,total feuerschutz gmbh,15 goethestr,boblingen,71034,342090599.0,DE
978fe60e-5c12-404e-9dbe-086a53a640aa,seal dynamics,lime tree way,basingstoke,,210999142.0,GB
7313f93c-14aa-4e5a-814a-e91a4d3a0a05,knabl,20 karolinenstr,bad aibling,83043,325002012.0,DE
d53672e4-dd61-4511-90ed-ed18e1da3103,gema gesellschaft fuer musi,schierenberg,hamburg,22145,498648021.0,DE
bbdd15a5-fa43-4b62-8c21-f312f91d9d6d,druck limited,fir tree lane,groby,le6 0fh,219144201.0,GB
e93156a2-7971-47d1-8bd0-8b289d1a5a53,sonepar idf cefb,5 avenue jules ferry,malakoff,92240,,FR
4758a880-1f7f-49b5-a3d5-094e9895df3b,meggitt aerospace limited,wharfdale road,birmingham,b11 2dg,423940519.0,GB
9d55cdbd-e61d-4e24-92b3-ed5f91ec6396,adlon datenverarbeitung gmbh,15 lise meitner str,ulm,89081,342582336.0,DE
895143ed-87a3-4b18-912f-3f769cf9a878,university of wales swansea university of wales swansea university of wales swansea,singleton park,swansea,sa2 8pp,,GB
8a36d910-8da0-41b5-ae99-1a9112e04d51,kitotec gmbh,11 carl zeiss str,meckenheim,53340,,DE
78976160-abd7-410d-b50c-254545f82a02,roth gmbh und co kg,22 rutesheimer str,stuttgart,70499,,DE
27530dde-18de-4744-9fbe-afa903805623,alenia aeronautica spa,strada privata aeroporto caselle,smauriziocanavese,10077,,IT
3402447f-6123-4ee9-b9af-cc60b6b0860d,honeywell engines systems honeywell engines systems honeywell engines systems,2525 w 190th st,torrance,90504-6002,,US
68f7421e-ef8f-4aa0-8f07-c4bee8a1ce39,db vertrieb gmbh,stephensonstr,frankfurt,60326,,DE
a74abd3d-4ca8-4317-8f3e-e802e6f518ea,siemens ag,robert koch str,planegg,82152,,DE
2e664546-fe47-4b15-a96b-9bc1f7e1f24c,leonardo group gmbh,56 leonrodstr,munich,80636,312612601.0,DE
4c9d0555-39b9-4fb7-b181-25c84904ef67,natixis factor,10 12 avenue winston churchill,charenton le pont,94220,390877715.0,FR
823da760-6260-4d19-ba74-b6e60cd37dfc,blumenhaus ertl,17 hauptstr,unterhaching,82008,,DE
64fd850d-0d65-4218-9854-f1b5fc119941,elektrotechnik berger,89 hauptstr,neu ulm,89233,,DE
572c004f-efb5-41b4-b5dc-737aabf9f79c,comptoir du sud ouest,boulevard de thibaud,toulouse,31084,,FR
f3241e78-7a21-431e-aa23-f90baad0ee7b,ht instruments gmbh,1b am waldfriedhof,korschenbroich,41352,312526563.0,DE
352ac876-b679-4016-9e3d-06e40eefa8d8,fischer gmbh,18 berblingerstr,laupheim,88471,316121081.0,DE
2d9863f7-963c-4e03-8066-de9bcffa5e15,schroeder fasti technologie gmbh,1 elbringhausen,wermelskirchen,42929,537278132.0,DE
8b5d81b9-44a9-44a4-a373-3ce3760a230b,nespresso deutschland gmbh,23 speditionstr,dusseldorf,40221,333868649.0,DE
2d7fda99-d0f3-45e1-be5c-dd3b86f90228,siemens ag,6 werner von siemens str,augsburg,86159,319291902.0,DE
f1abc471-34ae-4709-905b-0f20a1c2102e,albert berner deutschland gmbh,66 mittenheimer str,oberschleissheim,85764,,DE
35475544-3ac0-44a9-a866-d33c64f5df44,landgasthof linde,2 hauptstr,gunzburg,89312,,DE
f7107e9a-8edc-4d1a-b7b9-b77ee5c5fc06,luce,7 avenida del euro,valladolid,47009,,ES
2b381635-e1a6-48e9-8a73-cfbe5480678c,greental sa,2 calle bahia de pollensa,madrid,28042,,ES
f37c249c-b4ea-491f-a2d1-d746a949c9ef,hamilton sundstrand corporation power systems,4400 ruffin rd,san diego,92123-1606,,US
1a0060f0-12b1-42f2-b1f3-e7acb0748fc1,casa subcontratacion,49850 calle la mata,seville,41002,,ES
456ab9b4-a2e4-41d1-987a-093c842c112b,nm medical,rue du chemin vert,ronchin,59810,278082214.0,FR
290f2993-e2f5-4da0-b5ba-9ed464b7603d,elettronica gmbh,10 am hambuch,meckenheim,53340,315996603.0,DE
4247e534-e143-4f1b-ac98-fa59f1c004c8,honeywell engines systems,2525 w 190th st,torrance,90504-6002,,US
40cdc6fb-dafe-4102-bdf3-693b8cbad832,sz druck verlagsservice gmbh,2 6 martin luther str,sankt augustin,53757,,DE
cbe3c7e4-bdda-44c9-8609-b19decedba9f,ge aviation,cheltenham,cheltenham,gl52 8sf,67221824.0,GB
ab17a815-f653-41a9-9838-e2b39d17f7ff,noveltis,2 pl canal,ramonville saint agne,31520,502521953.0,FR
bb3e4157-f4ea-4df4-950f-dc0f720e0592,temai ingenieros,10 calle de rivas,coslada,28821,461592987.0,ES
c8efedca-4ae8-4378-b629-2a1cc067924b,marconi selenia communications spa,1 a via negrone,genoa,16153,,IT
4a59c0ef-1128-4c00-aa34-207f9c72eb2d,aeroflex gmbh,2 gutenbergstr,ismaning,85737,,DE
1da7f6bc-fe99-44be-945c-a58968d8c808,polytec pt gmbh,1 7 polytec platz,waldbronn,76337,,DE
c6270995-2a86-4a58-9a4a-427aeb63f2d3,ups deutschland inc co ohg,1 grlitzer str,neuss,41460,318066107.0,DE
2c5262d5-3a57-49f0-8943-08abc1cd7b91,elior entreprises,78 rue saint jean,balma,31130,285170374.0,FR
51af1937-0518-403c-91a1-9039ee70517e,vds technische pruefstelle,27a pettenkoferstr,munich,80336,343524646.0,DE
a3b7c5e0-01e8-4042-a0d9-0fb512eeb845,secure information assurance ltd,6 manor avenue,preston,pr3 3xn,,GB
f2416445-d80f-4778-ba9b-82bb66b8c4cc,honeywell aerospace vendome honeywell aerospace vendome honeywell aerospace vendome,18 boulevard de l industrie,paris,75001,,FR
b5b6e072-f5d2-44b6-b290-d886f99b2cf4,mca ingenierie,rue victor hugo,levallois perret,92300,,FR
0e0f07f6-3477-4241-9f3e-c2a6ead97a5f,glove box technology ltd,unit 6,ringwood,pe73lw,7746282.0,GB
a05b9a23-b7ed-4f4c-a7d9-f6c846e8d85b,maschinenhandel meyer,10b reinhard rube str,gottingen,37077,341887429.0,DE
8e6ed502-5b4d-4361-8677-27593fef4f23,nextiraone deutschland gmbh,rheinstr,teltow,14513,,DE
2fee7642-75e8-4169-97a9-38eed2a6e255,kfv kasse,13 heimstr,asselfingen,89176,,DE
b3927c82-759b-471e-9d43-8a1e346c269f,nerb kg,ingolstdter str,manching,85077,316179969.0,DE
8bc2d3ec-1bf1-4b42-8799-5ac3ecd60093,mit sloan executive education,238 main st,cambridge,21421,,US
66fbbe91-9461-48af-a3a9-1b44d0081e18,hd electronic gmbh,3 adolf kolping str,simbach am inn,84359,,DE
b6d608d9-69d9-473a-bb84-46a29a15cc32,ferchau engineering gmbh,13 scha12tzen str,gummersbach,51643,,DE
67556824-f4d9-422d-ad67-052bf578302d,international rectifier gmbh,frankfurter str,neu isenburg,63263,317777985.0,DE
43c049ec-4a6b-46d0-9988-64bf735ba38a,fischer gmbh,21 industriestr,sindelfingen,71069,,DE
65835406-e391-4c00-9079-0ba370f29897,iberia,barajas zona industrial,madrid,28042,,ES
4f872c9f-c666-4d30-bda8-fb864e2432a2,lighthouse uk limited,north road,loughborough,le11 1le,,GB
90297c6c-b2a7-4f02-a48b-5aa47a591fd2,hotel vier jahreszeiten,17 maximilianstr,munich,80539,315795054.0,DE
67fc19a2-d21e-4b31-ac85-24fa5d6ee1ba,ricoh deutschland gmbh,am kaiserkai,hamburg,20457,,DE
a492182b-a024-4f42-b878-fca1192ac39f,oasis interior landscaping,linden house,sandbach,cw11,233321541.0,GB
cfcf9b8c-4e31-470d-835b-666b911d8f43,keithley instruments gmbh,65 landsberger str,germering,82110,31609217.0,DE
811acbc5-09d8-4bd9-b516-8b606d44f0dc,monocomp instrumentacion sa monocomp instrumentacion sa monocomp instrumentacion sa,63 calle santa leonor,madrid,28037,,ES
750350e4-4f8e-4dbd-9c00-b9ae395c4e80,metrax gmbh,22 rheinwaldstr,rottweil,78628,317327831.0,DE
d46e85bc-03d2-4b36-863e-b9759bdc7cae,intersport wilhelm,donaustr,vohburg an der donau,85088,324083799.0,DE
4a76574a-71e2-4def-9a44-3ef52b73efc4,riello ups gmbh,siemensstr,reinbek,21465,34076023.0,DE
b5729da0-1fd8-4c57-8ea5-efc234032ca0,brklin ohg,41 schillerstr,munich,80336,316757657.0,DE
83024ff7-2624-431f-b299-ff6fbdf0cebf,battery direct gmbh,1 ewald renz str,bad schonborn,76669,331599808.0,DE
4b62e1a2-252a-497e-b3e4-7ecbfe3977ad,france securite,rue alain colas,brest,29604,276326584.0,FR
9913e18c-a766-4c23-ba5e-c2080fbe22c2,srtechnics,calle de mario roso de luna,madrid,28022,,ES
54a718dd-7226-4b1f-89bb-3f7a185354b3,selex communications spa,4 via dell industria,pomezia,00040,339891404.0,IT
88aaa3a3-6a90-4c3a-901c-160ce64310e6,united parcel service deutschland,1 gorlitzer str,neuss,41460,,DE
936fd02b-74bc-4b67-89dc-d941a42e1a58,first sensor ag,10 boschstr,puchheim,82178,315794797.0,DE
60b56e63-7239-4448-9faa-25b80b9f5465,chapelier sas,1 avenue de la gare,coignieres,78310,395762263.0,FR
c393f4db-07ce-4146-a368-9c5711f09cfc,oracle deutschland bv co kg,1 sonnenallee,kirchheim unter teck,85551,,DE
f1fffcc1-24ec-4a08-9c99-3751324b6d61,midas construction ltd,winterstoke road,bristol,bs3 2lf,23132853.0,GB
5b4f6fd4-221a-4f9c-8127-e48afdbbaf0c,sofame,route de bonnetable,le mans,72190,525330569.0,FR
9bb2f5d9-7014-4fb0-a984-daae588730a0,specialty fasteners components,unit d seymour wharf,totnes,tq9,233148675.0,GB
a770ece1-dbe5-4a91-abc8-c61fab6b5fd8,wolf gmbh,schulze delitzsch str,stuttgart,70565,34234228.0,DE
f2435101-b08a-43c5-87d4-4c1399b05d0a,honeywell international inc,15001 ne 36th st,redmond,98052-5317,,US
61d29faa-44d1-4f8d-8ff2-a795556812c2,admiral microwaves limited,1 kildare close,ruislip,ha4 9lg,233302249.0,GB
f7e68b88-9021-45f7-a163-39d752636e63,autohaus medele geyer gmbh,19 rntgenstr,weilheim in oberbayern,82362,341845104.0,DE
73596a84-dff7-4d51-9aa2-b184075c701f,brueggemann gmbh und co kg,2 am kalkheck,herdecke,58313,324877083.0,DE
f5a796d3-d332-4d63-ab1b-abaa72ece4e4,meissner expo gmbh,ruhrstr,hamburg,22761,,DE
b6381a90-c6d8-4e99-be51-da7439893b49,aimt ahc,2 2 zillenhardtstr,goppingen,73037,341053885.0,DE
2600ce18-2a4b-4390-bd97-d249012dada5,laystil sa,36 avinguda generalitat,abrera,08630,467342234.0,ES
160a8b42-1bf3-4b67-852b-cce37d35714e,galileo avionica spa,strada privata,caselle torinese,10072,,IT
c26dbee6-e74d-409d-a456-8e7e5808a5ff,b e aerospace consumables,4 avenue saint granier,toulouse,31024,261846517.0,FR
2a6a15cd-e470-48e4-b1be-63acd75e616b,weinmann emt gmbh co kg,12 frohb se str,hamburg,22525,342832477.0,DE
d51ccd42-901f-4f8a-8a97-9dff7d458323,thales communications security,avenue de louvresses,gennevilliers,92622,772361978.0,FR
96f4e3d0-ea15-4141-b9a6-e0283617e803,intercomp europe ltd,the old barn manor farm manor rd,reading,rg100py,,GB
112efe74-b19b-44e8-8588-dc325af17454,sew eurodrive gmbh co,5 domagkstr,kirchheim unter teck,85551,330979233.0,DE
6b425170-1d20-4bff-95f1-02db936cdfa1,esso deutschland gmbh,2 kapstadtring,hamburg,22297,333666233.0,DE
b5e5279a-3c6b-4edb-aedc-ea55f5b98cd7,dengel confiserie gensse,am,eckfeld,54531,,DE
df1df95a-d000-4598-ac9d-ce0a89cd84b5,heisslufttechnik flocke gmbh,14 18 elssser strae,solingen,42697,32843182.0,DE
