ix_left,ix_right,name_left,name_right,street_left,street_right,city_left,city_right,postalcode_left,postalcode_right,duns_left,duns_right,countrycode_left,countrycode_right,y_true
b5729da0-1fd8-4c57-8ea5-efc234032ca0,fd3bac22-f849-4312-90e6-fc2f5cf6d2bc,brklin ohg,buerklin ohg,41 schillerstr,grnwalder weg,munich,oberhaching,80336,82041,316757657,316757657,DE,DE,0
6c39db4f-af5f-4073-a447-d42f79981ac1,741c6dc2-f923-4fe0-a5c5-cc4b531d73d5,natixis factor,natixis factor,1012 avenue winston churchill,avenue winston churchill,charenton le pont,charenton le pont,94220,94220,,,FR,FR,1
0259216a-6687-4146-b0ed-9373702b7d9f,a2924139-bf18-4784-81eb-fe8afbd98c4b,hotel villa hentzel,villa hentzel,bauhausstr,bauhausstr,weimar,weimar,99423,99423,,,DE,DE,1
4c115719-4309-459e-8f48-8929761074f7,d9c1213d-6ff4-4a8c-aaba-8ca9f8c64b40,hamilton sundstrand aerospace,hamilton sundstrand ca,4747 harrison ave,po box 85757,rockford,san diego,61108-7929,92186-5757,,144357381,US,US,0
dcc308de-62f6-4c91-bd0e-b7ad77424c9c,4423d322-4b71-4722-a668-aede6ea7cfce,drei bond gmbh,dixi polytool gmbh,17 carl zeiss ring,11 carl benz str,ismaning,birkenfeld,85737,55765,319143681,320051725,DE,DE,0
d6557d2d-69b5-4e0a-af78-8f2b72b33d06,3cbe1b93-fca9-48c1-bf6c-b637ca8f5471,maximilian wigger suttner,maximilian wigger suttner,jahnstr,jahnstr,ulm,ulm,89073,89073,,,DE,DE,1
a029fb9a-c6e0-4732-96dc-b384ef9f62f7,2528a57c-32a0-4944-a325-01996c097a68,delta computer products gmbh,planilux gmbh,4 rntgenstr,48 rangestr,reinbek,warstein,21465,59581,031634716,313536424,DE,DE,0
680f5a62-9a45-462e-a744-bd79d091d26f,cbb76bc4-49fa-4bb7-bb3a-5fc37dbaca44,genkinger hubtex gmbh,engelking elektronik gmbh,albstrae,16 albstr,munsingen,tuningen,72525,78609,332679625,,DE,DE,0
6537b899-866f-4456-a542-0c0eb4718a57,dadb7842-2c63-4622-ba57-fd8364be8812,utc aerospace systems,utc aerospace systems attn char mcgoldrick,250 knotter dr,1007 e university dr,kansas city,phoenix,64101,21131,041668195,,US,US,0
e1a325bd-f709-4d29-9071-236e44030908,8bd50f9c-0a29-4ec3-88f0-f7ca11244b49,klever gmbh und co kg,kemper gmbh,20 hauptstr,20 von siemens str,aham,vreden,84168,48691,,317319242,DE,DE,0
be102af6-1552-480a-98fe-53eced051582,75b2984e-4929-4faf-a4fe-3025954327c9,aspen electronics limited,aspen electonics limited,1 kildare close,re aspen electronics,ruislip,feltham,ha4 9lg,tw137qd,217199405,,GB,GB,0
3c4377c9-7da5-45b2-b9ab-4181554594ee,4904c310-36d4-4dee-b8ff-f18113f8cfe8,ergonomia verlag ohg,ergonomia verlag ohg,29a julius halder s trasse,29a julius halder s trasse,stuttgart,stuttgart,70597,70597,,,DE,DE,1
a9b7c40b-6448-407b-89f9-a7d0b040a6ea,f02cb731-ebe7-4505-af04-61df8df093a5,selex sensors and airborne systems,selex sensos and airborne systems,2 crewe road north,lg,edinburgh,edinburgh,eh5 2xs,28000,023226769,023226769,GB,ES,0
19c06e93-9aaf-4165-80ef-50f4e63ae433,1db0ec72-ca0a-48a8-85cf-0e42c172c5b7,denzel kg,bmv mietservice gmbh,12 mhlwinkel,12 hasenwinkel,wertingen,wolgast,86637,17438,316456565,,DE,DE,0
4c1e2c61-3b2f-4257-bab8-067f5ea58f2d,2b288390-f72b-4cdb-8a3b-ccac1cbce1fa,swansea university,swansea university,singleton park,singleton park,swansea,swanseasa28pp,sa2 8pp,sa2 8pp,232227629,232227629,GB,GB,1
8ae6cdb0-5808-4cbb-bb1e-9a6980f8817b,aeba4b32-076d-4a65-bbdc-5a94c7bd5e17,ge sensing,druck limited,fir tree lane,fir tree lane,groby,groby,le6 0fh,le6 ofh,219144201,226525053,GB,GB,0
4c772645-57f5-490a-a336-b2e4ce1f10d3,2839b691-e240-4281-b173-03fd5688e8af,mewa textil mietservice,mewa textil service ag co,5 hermann gebauer str,hermann gebauer str,meisenheim,weil im schonbuch,77974,71093,314496969,318287794,DE,DE,0
39082433-598a-49f1-b84b-6c3400305119,3b9f57b4-85af-47be-9530-c553a807f4a3,sinus electronic gmbh,sinus electronic,schleifweg,schleifweg,untereisesheim,untereisesheim,74257,74257,,,DE,DE,1
5c91b347-a801-4eb4-a917-6caced005db8,81f2bcb7-b852-4f1b-ac3a-bfcfe69d5fbc,phoenix contact hmi ipc,phoenix contact gmbh co phoenix contact gmbh co phoenix contact gmbh co,29 kurze str,8 28 flachsmarktstr,filderstadt,blomberg,70794,32825,,,DE,DE,0
893c79db-1d58-403f-9a9f-dec3ae1bb49d,21dd90c8-d37b-4a3f-ba91-5dcd55db7a53,gesa equipos y suministros indus,gesa equipos y suministros indus,19 carrer de la industria,19 carrer de la industria,teia,teia,8329,8329,,,ES,ES,1
d23b2dac-e7e3-4390-a895-4b205d05e976,59de0cf8-cb34-4b30-a5cc-8ad39b44214b,aaf sa,compass group france,avenue de paris,avenue de paris,vincennes,chatillon,94300,92320,,,FR,FR,0
77f5274a-b8ab-45bc-ae41-2e1f6c06e51c,b54f1933-d136-45b9-8bf9-da9d7f69c096,selex es spa,selex es spa,via piemonte,via piemonte,rome,rome,187,187,434003576,,IT,IT,1
3ff0a037-ccd9-4dae-ac82-741386469e20,31977c06-ae68-4fa8-a5ad-470ffafca635,siemens ag,siemens ag,1 gnther scharowsky strae,16 hartmannstr,erlangen,erlangen,91058,91052,331491514,,DE,DE,1
2b6c43e5-0ab7-4180-a5f8-2a1a5e7f67cb,71d680b3-6244-4967-a313-1d2e15d99801,industrie und,industrie und handelskammer,fasanenstr,fasanenstr,berlin,berlin,10623,10623,,,DE,DE,1
97571df1-a5a3-402d-b8a8-203ce91702f9,43c007d9-4e4a-4e36-9714-2e06374da2e2,kvt koenig gmbh,ceg alain vendrell ek,14 max eyth str,max eyth str,illerrieden,illerkirchberg,89186,89171,,342171451,DE,DE,0
bace2c59-b9e4-49ce-a6d4-e49d649c720a,dd1314c3-e23a-4908-a75c-8910d99bb7c9,vri,kuhn albert,wilhelm maybach str,9 wilhelmstr,ellwangen,stuttgart,73479,70182,342019866,,DE,DE,0
0297485a-a3ef-415b-bf99-bc7b1c8f254a,39ec323f-4efa-4215-b0fa-128f20c83e4b,gross karlheinz,stadler,37 ulmenweg,7 tulpenweg,zweibrucken,petershausen,66482,85238,,326026627,DE,DE,0
37fa1e22-ee69-49b0-8d88-90e3407d0251,3b7341ce-0a70-45fd-bb74-c09dcbdd076b,marconi selenia communications spa,marconi selenia communications spa,1a via ambrogio negrone,1a via ambrogio negrone,genoa,genoa,16153,16153,,,IT,IT,1
8946d1cc-a77a-4ccd-8eaf-2b103195ceef,8de39d71-cc43-4b5d-8b4f-14f2b9059671,isr stephan walter,isr stephan walter,56 nahestr,56 nahestr,rodgau,rodgau,63110,63110,,,DE,DE,1
fa96a218-64c7-48b5-8156-2023308ba14e,0b9845b5-8b00-4666-9263-22a042db7971,vds schadenverhtung gmbh,dymacon gmbh,rheinstr,96 rheinstrae,darmstadt,darmstadt,64283,64295,332836506,388046799,DE,DE,0
8c071814-2bec-4693-b5bc-524d149161f2,42a5e929-3270-4700-b3c1-08ea755cb894,ge aviation systems ltdcustomer services,ge aviation,evesham road,cheltenham,cheltenham,cheltenham,gl528sf,gl52 7,211207784,,GB,GB,0
f21fdcf5-a8b8-4582-8a04-6722c121b836,cce26ebb-988f-4b00-9ef5-c3dc46eb34de,smiths aerospace customer services,ge aviation,bishops cleeve,evesham road,cheltenham,cheltenham,gl528yb,gl52 8sf,288525181,288525181,GB,GB,0
f02cb731-ebe7-4505-af04-61df8df093a5,d8021c22-9040-4710-a930-ffb0dc3f6add,selex sensos and airborne systems,federal express corporation,lg,lg,edinburgh,madrid,28000,28042,023226769,,ES,ES,0
e649baee-018e-4473-b911-9f41d76e6818,46bed352-d9d4-4aef-bd97-83309fcc4c54,blumenhof frey,blumenhof frey,wa3rmbachstraerasse,17a wa12rmbachstraayerasse,unterschleissheim,unterschleissheim,85716,85716,,,DE,DE,1
b1120134-9729-48c8-8e80-f6dd7e2a19a3,d8b76b14-40e6-4819-932e-770a0fcd2059,sogeti high tech,sogeti france,bp n 90076,avenue ziegler,blagnac,blagnac,31700,31700,287711456,,FR,FR,0
0a8de44c-737e-4f10-bb2c-2ae14687aa62,7091755c-95f2-43a7-9330-f5fd3a0d0587,rdmadrid sl,cualicontrol aci sa,79 calle de caleruega,67 calle de caleruega,madrid,madrid,28033,28033,056330515,462080649,ES,ES,0
a30fe96c-51ca-4c9a-add4-8b7e9859cd19,76a8f47c-acfa-41e5-85be-23aca5d1c0d4,edmund optics inc,kd optics,lysander close,new forest farm walshford,york,wetherby,yo30 4xb,ls22,236713199,236859195,GB,GB,0
01c34b3a-67aa-418e-95e2-43b6eb926fd3,e5fd5687-2a53-4d77-a9fb-f9529fd5e1ce,haufe gmbhcokg,sixt gmbhcokg co,weilburger str,trelleborger str,usingen,rostock,61250,18107,,,DE,DE,0
6880aa5d-69dd-476f-8883-26d92867022d,92daa6b5-06c3-451e-96fc-0dd217e73427,ge aviation systems ltd,ge aviation systems ltd,arle court,cheltenham road east,cheltenham,gloucester,gl51 0,gl2 9qn,,,GB,GB,0
b8f79f98-63ea-446e-aced-20f11ab70fbd,2918dcb8-e0ff-4108-b5f9-9c867268d20f,phytec messtechnik gmbh,schuetz messtechnik gmbh,robert koch str,7a rheinstr,mainz,teltow,55129,14513,,324213826,DE,DE,0
f7da5ee1-7c3f-4d8d-b644-d01791d1793d,484866fb-d9ef-4c51-b6b6-e5b4c5586f17,e a elektro automatik gmbh,ea elektro automatik,31 37 helmholtzstr,31 37 helmholtzstr,viersen,viersen,41747,41747,344304634,330862074,DE,DE,1
1d2e777b-15af-403c-9b9d-b16819dceda3,f8db7942-610b-445d-a299-c4ae23c45217,citaku gbr,citaku gbr,32 papenbreede,32 papenbreede,bad essen,bad essen,49152,49152,,,DE,DE,1
35508103-f282-411d-b321-5dbf96d486c7,427dcf2a-7c47-449f-9a9b-0b09cbccb189,hr kommunikation,hr service,max von mller s trasse,2 buchenauer str,rottenburg,furstenfeldbruck,84056,82256,340190931,316192707,DE,DE,0
150322b3-a3ee-4252-936c-f98ef776bc45,62da40fe-c74c-439a-afc1-1585b7930160,fako gmbh,universal transport nord gmbh,peutestr,50 52 peutestrae,hamburg,hamburg,20539,20539,313518398,033032167,DE,DE,0
83024ff7-2624-431f-b299-ff6fbdf0cebf,afac4773-923a-45ce-9d03-54de19231cab,battery direct gmbh,parcom gmbh,1 ewald renz str,ewald renz str,bad schonborn,bad schonborn,76669,76669,331599808,,DE,DE,0
7a60d395-c89b-43ff-9fc1-ce032f99bdcf,94c93a16-c01f-417d-9c73-77a3a210da43,battery direct gmbh,csb battery store,ewald renz str,14 badstr,bad schonborn,neumarkt in der oberpfalz,76669,92318,,,DE,DE,0
39734970-79ff-4020-a019-e3b60b6279fc,85cc4387-2de3-4e43-97e1-a9d8d3c52fb6,oracle deutschland gmbh,oracle deutschland gmbh,14 schiffbauergasse,riesstr,potsdam,munich,14467,80000,033170335,317774891,DE,DE,0
0ad4aa46-8342-46eb-b598-9aebd7095cc9,7554a1bb-46c5-4af8-9839-8f1a01f54c20,algner safety consulting services,vwr international gmbh,14 weiherstr,42 whlerstr,friedrichshafen,hanover,88048,30163,,341869043,DE,DE,0
77ca58f8-2fff-411b-875a-6648fa533bd1,17ce75d1-cc4b-4ab3-925c-356692bbcd0a,buchde,k busch gmbh,an den speichern,1 schauinslandstr,munster,maulburg,48157,79689,031539316,317541456,DE,DE,0
b5596907-b72e-40c9-a5aa-d4634e98ed8d,83b28c2c-86f0-4d05-93c4-08e05b4a0b39,dga techniques aeronautique dga techniques aeronautique dga techniques aeronautique,otis zi du cass ii,47 rue saint jean,saint jean,balma,l union,31130,31240,,,FR,FR,0
0908a0aa-68e5-4364-9b39-aa74de13cbda,b54f1933-d136-45b9-8bf9-da9d7f69c096,selex es spa,selex es spa,4 piazza monte grappa,via piemonte,rome,rome,195,187,,,IT,IT,1
8e647a80-473c-488e-862b-1ce8748f0ef3,24273c60-8552-4877-9270-fadd46818f1b,general dynamics uk ltd,general dynamics uk,bryn briithdir,road,blackwood,st leonards,np12,tn38 0hw,295449961,233415103,GB,GB,0
0908a0aa-68e5-4364-9b39-aa74de13cbda,a240b509-a6c8-433e-9712-4f802e7163bc,selex es spa,selex es spa,4 piazza monte grappa,piazza monte grappa nr 4,rome,rome,195,195,,339051809,IT,IT,1
816d262e-cf5d-405c-9012-df0053cfd848,fc8bf3d0-0a95-48e4-9f8e-8e2850913563,ge measurement control,ge sensing,fir tree lane,fir tree lane,groby,groby,le60fh,le60fh,226525053,219144201,GB,GB,1
13e982e5-26a3-45b1-bca2-02ef23caaf90,f3020ce6-f5c1-47cf-b904-ea2f014012cf,landeshauptstadt mnchen referat f,linde technische gase gmbh,sendlinger strae,70 seitnerstr,munich,pullach,80331,82049,,329252832,DE,DE,0
3c4c091c-b787-4017-a393-b14cd4e68dc6,a95f5f08-9462-4da8-b941-f8c7148fd5ce,industrie und,industrie und handelskammer ulm,olgastr,olgastr,ulm,ulm,89073,89073,,498750561,DE,DE,1
05ab6b6a-80bd-41e6-81cc-2dc5967ceb09,b79a078a-156f-421b-934f-25da716214cc,cablematic dos mil s l,sofitec,85 carrer de santander,de,barcelona,carmona,8020,41410,464065908,,ES,ES,0
d63e3340-e8a6-45d9-8462-cb314524e61b,f0304ee6-e293-4993-be58-5ba2f609f961,umt umweltingenieure gmbh,nps bauprojektmanagement gmbh,1 adolph kolping platz,1 adolph kolping platz,ulm,ulm,89073,89073,333374796,053758657,DE,DE,0
71747e06-0621-47b4-847c-9d1cc92d03ab,ab00128c-bfa2-4921-80a1-dbae1e980458,tropack packmittel gmbh,carney gmbh,8 vor dem polstck,25 vor dem wald,lahnau,wutha farnroda,35633,99848,,342656493,DE,DE,0
8de0b63f-f94c-443f-8ad5-8f16bdf761ed,cfb8ec8d-deb6-4d21-9aff-738a4431a652,bueromarkt boettcher ag,business visum gmbh,3 brusseler str,dusseldorfer str,jena,frankfurt,07745,60329,,,DE,DE,0
76e834db-6e0c-400a-8f51-98b2652fd479,e26bfb28-3f30-4d62-aff3-1c394faafbc9,datalis,unirep,8 avenue gutenberg,1 avenue gutenberg,portet sur garonne,portet sur garonne,31125,31120,260332779,380349795,FR,FR,0
f0d34671-a63e-4a7a-a0fd-91de34614366,253ce464-33bd-41cc-a078-81f262216c45,hamilton sundstrand,hamilton sundstrand,cl4747 harrison ave,4747 harrison ave,rockford,rockford,61125,61108-7929,,051079937,US,US,1
39e80128-8b75-44b9-a197-f253b2bb9fec,0206ba41-c065-46d5-8e42-3d728dd4ce16,alexander speith gmbh co kg,bro zimmermann,14 bahnhofstr,14 16 bahnhofstr,varel,dippoldiswalde,26316,01744,319220083,330223603,DE,DE,0
591099fe-6fcd-4a72-9e4b-9365594dbb41,fb4d779a-453e-4b12-a95d-871027ad83c0,nespresso deutschland gmbh,kienbaum management,speditionsstrae,speditionsstrasse 21,dusseldorf,dusseldorf,40221,40221,,,DE,DE,0
7deb146f-57f9-4a7b-b05f-1784c677bdf1,501ad89f-f5ce-487d-b5c6-ea6640f79e47,smiths aerospace electronic systems,ge aviation systems ltd,cheltenham,cheltenham,cheltenham,cheltenham,gl528sf,gl528sf,,,GB,GB,0
f02cb731-ebe7-4505-af04-61df8df093a5,f2768cdd-c214-4f43-bf0d-edfd1b866920,selex sensos and airborne systems,technology chemical sl,lg,lg,edinburgh,cadiz,28000,11011,023226769,469364285,ES,ES,0
c6401891-df76-43c4-abf2-0c95504419f7,ea4fa8d4-1e9d-48dc-b670-53d67a126886,dr ing k busch gmbh,dr ing k busch gmbh,1 schauinslandstr,1 schauinslandstr,maulburg,maulburg,79689,79689,,,DE,DE,1
e67441ba-c61a-4e50-ae15-61401e231568,fb00367a-c71c-4eb6-95dd-34cbc24dca78,ma componentes sl,tratercom sll tratamientos termicos de componentes aero,pg el pino calle,12 avenida de mareina,seville,bollullos de la mitacion,41016,41110,,,ES,ES,0
b9b20b60-5718-4a95-b6b3-401a799f1b53,21312101-c637-4ace-92ff-36ffb9e5d1de,translogic inc,translogic inc,5641 engineer dr,5641 engineer dr,huntington beach,huntington beach,92648,92648,075072116,075072116,US,US,1
d42eb6b4-8e7e-4933-ab79-2ff87951d099,5c3c57bf-4c6e-47af-8a29-e10c105f0c74,tino winter,tino winter,obere au,obere au,rechtenstein,rechtenstein,89611,89611,,,DE,DE,1
b60f09c2-8bb6-4321-8473-c2601b852d4a,6cd785dc-98f9-44bd-8318-2845080904de,stc steyr wlzlager,multi printed circuit boards ltd,40 41 rosenthaler str,2 brunnthaler str,berlin,brunnthal,10178,85649,,,DE,DE,0
4389becc-7453-4350-83b2-094b74a6d4d1,02f8a26c-b153-4064-bd87-9436108500d4,ask distribution,manfrotto distribution,rue de la boucherie,44 rue de la couture,molsheim,rungis,67120,94390,,263172699,FR,FR,0
7675fecc-f993-4513-8251-ef7e15cdcf44,8638314d-e8ee-48b0-a7ed-f290c054c4ea,salicru electronics,salicru electronics,calle parque ind,calle parque ind,seville,seville,41016,41016,,633486162,ES,ES,1
2f0901d9-1f1f-4efe-a974-05e8d6b7edea,c2e5b14f-2d7e-44ec-b4fd-77251782fedd,mike garwood ltd,marketline,shelleys lane,sheepen place,alton,colchester,gu34,co3 3lp,,,GB,GB,0
e8c68ece-5bfb-4a0d-bc02-b663d4945580,ab364b25-e746-4dc3-b958-f22276e9dbd7,uk space agency,c and g tool and cutter co ltd c and g tool and cutter co ltd c and g tool and cutter co ltd,north star avenue,north road,swindon,yate,sn2 1sz,bs17 5lq,,,GB,GB,0
7bb6b025-4c4d-493d-9658-121ac975073b,f1d5897c-5d9a-42f5-950b-f4707688847a,mayre sc,borrero sanchez hnos sl,5 b calle lopez de legazpi,calle b,seville,seville,41008,41008,,,ES,ES,0
ea3544e6-0ce6-4322-a2ec-8841087a5570,ad10bc13-7e4d-4126-be1c-698a97c8b8db,honeywell international sarl honeywell international sarl honeywell international sarl,honeywell aerospace vendome,4 avenue saint granier,18 boulevard de l industrie,toulouse,paris,31024,75001,,,FR,FR,0
e1a325bd-f709-4d29-9071-236e44030908,bd5cfda5-09c3-4412-9924-337e557fbc6d,klever gmbh und co kg,klever gmbh und co kg,20 hauptstr,20 hauptstr,aham,aham,84168,84168,,,DE,DE,1
9438b5e4-21a5-421c-a6aa-559cad3e9674,eef729a2-3311-46d5-85b2-403e417981cf,dichtelemente arcus gmbh,dichtelemente arcus gmbh,6 gromoor ring,16 beckedorfer bogen,hamburg,seevetal,21079,21218,313821894,313821894,DE,DE,0
f51fd948-c519-4e86-a635-410bbc27cf82,fc6b6da4-077f-47a6-9922-f41562e70227,adf technologies,spie sud ouest,6 avenue jean monnet,26 avenue jean monnet,colomiers,colomiers,31770,31770,,573151839,FR,FR,0
68ba9560-9ddf-449e-bde2-7ed15604bf18,3e16f0cb-8748-420f-bdfd-969c48e62f0a,frey blumenhof,albert berner deutschland gmbh,mittenheimer str,66 mittenheimer str,oberschleissheim,oberschleissheim,85764,85764,342418069,341842804,DE,DE,0
a9f4905c-0461-4e42-8dea-85377323db78,6065ae26-2396-4779-a249-2fe6cd207361,inficon gmbh,eriks gmbh,bonner str,bronninghauser str,cologne,bielefeld,50968,33729,,,DE,DE,0
f51fd948-c519-4e86-a635-410bbc27cf82,b8c7badc-86d7-4126-86d9-c2fa86a433b5,adf technologies,spie sud ouest,6 avenue jean monnet,26 avenue jean monnet,colomiers,colomiers,31770,31770,,,FR,FR,0
4fe4ecd1-1cab-4e44-95e3-7121402a2f1b,fd6f6e91-cce4-40fd-a133-59d2732257a5,le manoir de gressy,association centre port royal,chemin des carrosses,chemin du charme et du carrosse,gressy,saint lambert,77410,78470,,,FR,FR,0
291ef3cc-9d3e-4efa-b8ea-f14bb19cb77c,22be1313-c731-4cc8-bc96-2c4cf9b99da6,fako chemische fabrik,fako heinrich a anton,15 peutestr,sderstr,hamburg,hamburg,20539,20537,340213235,340213235,DE,DE,0
ea4e028b-b041-4b62-9e50-d9ad49e80f87,440fc4e6-53e3-4d00-ab04-f8ccc117506b,franz spahn,rainer pfanz,7 wiedhof,22 sandackerweg,bad salzdetfurth,aichtal,31162,72631,,,DE,DE,0
a029fb9a-c6e0-4732-96dc-b384ef9f62f7,975bdeab-95dd-4828-bc99-63a95ea8b205,delta computer products gmbh,mce computer gmbh,4 rntgenstr,14 lerchenstr,reinbek,munich,21465,80995,031634716,343582987,DE,DE,0
43cb5eea-2018-44a8-aecb-71c7dd001ea9,25d6d84f-ae57-46a5-a132-682d3edede7b,kerb konus vertriebs gmbh,wurdack software,7 werner von braun str,von,amberg,schlitz,92224,96111,,,DE,DE,0
a0a1b780-952c-4c09-978e-a34f8cc56eae,ce8a3993-e248-48e8-a594-7718e3e530b3,pts automation gmbh,abb automation gmbh,166 donatusstr,6 grner weg,pulheim,friedberg,50259,61169,332540769,344889824,DE,DE,0
787940de-0e47-4b50-9eda-75591b01ef6b,f714494d-2963-4158-95c6-c62221e154b7,marconi selenia communications spa,msc marconi selenia,1a via ambrogio negrone,viale dell industria 4,genoa,pomeziarm,16153,00040,440028405,,IT,IT,0
9b938f7e-ce01-4623-815f-099ce1097edd,31977c06-ae68-4fa8-a5ad-470ffafca635,siemens ag,siemens ag,16 sieboldstr,16 hartmannstr,erlangen,erlangen,91052,91052,342558576,,DE,DE,1
84ba9e9f-825e-42e2-9499-5983619b7e98,10086d8f-5f43-4246-a385-f079cc810819,rts elektronik systeme gmbh,boerner gmbh,66 preysingstr,6 borsigstr,wolnzach,ingolstadt,85283,85053,,341142073,DE,DE,0
149303db-da40-460a-9665-eef86ed8f2ea,616e6677-55d6-42d2-af44-76fad9a2b8e1,casa compras,ingelmaf sl,calle la mata,calle de navalmoral de la mata,seville,madrid,41002,28044,,769097374,ES,ES,0
536d4a08-8f02-4ec5-9b7d-e02fa09beb6a,a90adf42-d16b-4367-851c-5091cd41cea7,ge aviation,ge aviation,arle court,evesham road,cheltenham,cheltenham,gl51 0tp,gl52 8sf,505518316,067221824,GB,GB,1
2948b589-071f-40e5-8e19-58024c8c8b10,bcaea76c-b946-4251-9ce7-c8998edd0b7a,ea elektro automatik ea elektro automatik gmbh co kg ea elektro automatik,fiz karlsruhe,31 37 helmholtzstr,1 hermann von helmholtz platz,viersen,eggenstein leopoldshafen,41747,76344,,317426773,DE,DE,0
afe75b2f-6adc-4d92-975e-2f366d6809d7,8fcd15a7-046d-4080-8c4e-ef7a327f3096,galileo avionica spa,selex es spa,2 via dei castelli romani,via dei castelli romani 2,pomeziarome,pomezia,00040,00040,,339891404,IT,IT,0
c88a84fd-e132-41bb-a424-d75b7621d2ba,75277eab-d10d-4b1d-91e8-fb84ec8ccdea,hartmetallwerkzeugf a maier gmbh,hotel maier,2 stegwiesen,1 3 poststr,schwendi,friedrichshafen,88477,88048,343071213,507110463,DE,DE,0
417a8fd6-9b08-44a3-942e-f4bcf6325ce4,31977c06-ae68-4fa8-a5ad-470ffafca635,siemens ag,siemens ag,67 siemens str,16 hartmannstr,erlangen,erlangen,91052,91052,506764468,,DE,DE,1
3e254c40-3b26-4633-8cb2-da0877d48c98,593a5634-3ddf-4ef5-8e8f-7c289eb691cf,hahnkolb werkzeuge gmbh,hahn kolb werkzeuge gmbh,schlieffenstr,40 schlieffenstr,ludwigsburg,ludwigsburg,71636,71636,,,DE,DE,1
e2dbddca-9b25-4796-9f73-96e9f6994c6a,864babb0-2719-4ca2-b38a-1f7da1a82cc7,kalzbw reglab 4 cottbus,roda computer gmbh,66 sielower landstr,6 landstr,cottbus,lichtenau,3044,77839,,342690195,DE,DE,0
07587bc5-5794-407f-8150-002c338d1e47,ec0d1e2b-2ecc-4b67-8e22-66bea08d6473,wuerttembergische allplastik,glasbau steglich gmbh,12 johannes kepler str,1 johannesstr,herrenberg,ulm,71083,89081,,316089809,DE,DE,0
864118ea-165e-4fdc-8241-4777a254140c,7e87f102-3065-45b1-9094-458ca8e0de02,selex sensors and airborne,selex sensor and airborne,2 crewe road north,christopher martin road,edinburgh,basildonessex,eh5 2xs,ss13 1el,,,GB,GB,0
daeb8443-5a51-43bc-9a6c-be67fbad8104,a4055cbc-6195-4b39-99ef-e5ad071c3a37,fleurop gmbh,engie deutschland gmbh,3 4 lindenstr,lindenstr,berlin,ulm,12207,89077,313232118,,DE,DE,0
